text,choice,predicted_label,timestamp
今天天气真好啊,不符合,0,2025-12-05 15:14:04
我好开心啊,不符合,0,2025-12-05 15:14:21
哈哈哈哈哈哈哈哈哈这个游戏真有趣,不符合,0,2025-12-05 15:14:44
好好看啊这朵花,不符合,0,2025-12-05 15:14:58
恭喜！真为你感到高兴啊,符合,1,2025-12-05 15:15:44
今天天气真好，我很喜欢，希望每天天气都像今天一样好！,不符合,0,2025-12-05 15:16:32
哇塞，是隐藏款！！！！,不符合,0,2025-12-05 15:17:18
这个电影真的很有意思！！,不符合,0,2025-12-05 15:17:41
这个ai有毛病吧，能不能行了,符合,0,2025-12-05 15:19:13
在初雪来临前见面吧，前辈~,不符合,0,2025-12-05 15:19:55
我也很喜欢哈哈哈哈哈,符合,1,2025-12-05 15:20:20
我喜欢你！和我在一起吧,符合,1,2025-12-05 15:23:31
今天的天气真好！,不符合,0,2025-12-05 15:23:45
哇！好漂亮的花,不符合,0,2025-12-05 15:57:49
天呐这简直是年度最佳的游戏！！,不符合,0,2025-12-05 15:58:26
天呐这简直是年度最佳的游戏！！,不符合,0,2025-12-05 15:59:25
天呐这简直是年度最佳的游戏！！,不符合,0,2025-12-05 15:59:28
啊啊啊啊啊啊好漂亮,不符合,0,2025-12-05 15:59:38
哈哈哈哈哈,符合,1,2025-12-05 15:59:45
哈哈哈哈哈哈哈哈哈好好看,不符合,0,2025-12-05 15:59:56
我不行了这什么烂模型,符合,0,2025-12-05 16:00:39
好吧没事，就这样吧,符合,0,2025-12-05 16:00:58
恭喜！恭喜！恭喜！！,符合,1,2025-12-05 16:02:35
你神经病吧,符合,0,2025-12-05 16:02:47
我是不是给你脸了,符合,0,2025-12-05 16:02:56
这个餐厅的菜真的很好吃。,不符合,0,2025-12-05 16:03:12
学习机器学习真的很有趣。,不符合,0,2025-12-05 16:03:20
今天天气真好，心情特别愉快。,符合,1,2025-12-05 16:03:27
这个电影太好看了，强烈推荐给大家！,不符合,0,2025-12-05 16:03:33
这个产品质量很好，物超所值。,不符合,0,2025-12-05 16:03:43
这个电影太好看了，强烈推荐给大家！,不符合,0,2025-12-05 16:03:53
美~~~~~,不符合,0,2025-12-05 16:04:12
梦想有多大，舞台就有多大!,不符合,0,2025-12-05 16:04:23
求剩蛋礼物～[亲亲],符合,1,2025-12-05 16:04:53
澳洲老有surprise[嘻嘻],符合,1,2025-12-05 16:05:01
好的?????????祝你成功[鼓掌],符合,1,2025-12-05 16:05:09
哇！稀饭诶[鼓掌],符合,1,2025-12-05 16:05:16
只能靠不吃早饭证明自己还年轻了,符合,0,2025-12-05 16:05:33
早餐很好吃,符合,1,2025-12-05 16:24:55
隔音不太好，需要耳罩,不符合,1,2025-12-05 16:25:12
外面非常吵，难以入睡,符合,0,2025-12-05 16:25:26
房间比较干净，总体上不错,符合,1,2025-12-05 16:25:53
卫生不好，房间有蟑螂,符合,0,2025-12-05 16:26:22
房间是整洁的,符合,1,2025-12-05 16:27:11
房间隔音差,符合,0,2025-12-05 16:27:36
好高兴！！,符合,1,2025-12-05 16:28:03
地板很脏！,符合,0,2025-12-05 16:28:28
房间有烟味,符合,0,2025-12-05 16:29:14
老板送了免费的水,符合,1,2025-12-05 16:29:34
离景区很远,不符合,1,2025-12-05 16:29:50
离景区很近,符合,1,2025-12-05 16:30:02
今天天气很好,符合,1,2025-12-05 16:30:51
虚假宣传，说好的有免费的车接送，结果没有,不符合,1,2025-12-05 16:31:36
虚假宣传，说好的有免费的车接送，结果没有，差评，以后都不会来了,符合,0,2025-12-05 16:32:07
虚假宣传，说好的有车接送，结果没有,符合,0,2025-12-05 16:33:51
非常一般，，,符合,0,2025-12-05 16:34:53
这个酒店好一般，下次不会再来了,符合,0,2025-12-05 17:41:14
老板人很好，还送了免费的矿泉水,符合,1,2025-12-05 17:41:40
隔音一般，没有下次了,不符合,1,2025-12-05 17:42:27
隔音一般，下次不会选这家酒店了,符合,0,2025-12-05 17:42:44
好烦，这个破ai,不符合,1,2025-12-05 17:47:07
好烦，这个破ai会不会写代码,符合,0,2025-12-05 17:47:23
看起来环境很好,符合,1,2025-12-05 17:53:28
神经病吧你,不符合,1,2025-12-05 17:57:11
好烦，你怎么又有问题,符合,0,2025-12-05 17:57:27
